Strategy,Model,Feature_Count,Test_R2,Test_RMSE,Test_MAE
All_Enhanced,Gradient Boosting,19,0.9614732999079523,0.9080958407134887,0.437115212826906
Original_Plus_PCA,Gradient Boosting,16,0.9596800980644957,0.9289888767412056,0.4387092101316283
All_Enhanced,Random Forest,19,0.9578728563075792,0.9495804995807655,0.3416427025355597
Original_Plus_Cluster,Gradient Boosting,17,0.9575821322822411,0.9528514454282048,0.4351064416724944
Original_Plus_PCA,Random Forest,16,0.955544515690873,0.9754689575958418,0.3586448670377242
Original_Plus_Cluster,Random Forest,17,0.9547204629507159,0.9844683747505105,0.3646080705009277
Mixed_Top10,Random Forest,10,0.9503101772261504,1.0312987807314178,0.32970958397270206
Original_Top6,K-Nearest Neighbors,6,0.9484264959369614,1.0506646010483573,0.35064935064935066
All_Enhanced,K-Nearest Neighbors,19,0.9469096281704014,1.0660035817780522,0.4090909090909091
Original_Plus_Cluster,K-Nearest Neighbors,17,0.9469096281704014,1.0660035817780522,0.4090909090909091
Original_Top6,Gradient Boosting,6,0.9400743004330678,1.1325498756750394,0.4570095388805704
Mixed_Top10,K-Nearest Neighbors,10,0.9384151686776656,1.1481209945740989,0.37012987012987014
Mixed_Top10,Gradient Boosting,10,0.9352057777729612,1.1776572795121165,0.42051622873445793
Original_Top6,Random Forest,6,0.9318240464025038,1.207998488963965,0.41745445064455206
Original_Plus_PCA,K-Nearest Neighbors,16,0.9290105885249939,1.2326721054199772,0.5194805194805194
All_Enhanced,Linear Regression,19,0.8275382762168029,1.9213086664334167,1.42534982588779
Original_Plus_Cluster,Linear Regression,17,0.8275382762168022,1.9213086664334205,1.4253498258877924
All_Enhanced,Ridge Regression,19,0.8271866586213721,1.9232662658664956,1.4372907077554664
Original_Plus_Cluster,Ridge Regression,17,0.8269232857069195,1.9247312667464702,1.4388625602975695
Original_Plus_PCA,Linear Regression,16,0.8118551346172637,2.006767069254477,1.552696948208754
Original_Plus_PCA,Ridge Regression,16,0.8107568560721088,2.012615706605657,1.5674882415751934
Mixed_Top10,Ridge Regression,10,0.8001063390296195,2.068475071974616,1.5907159447122838
Mixed_Top10,Linear Regression,10,0.7988142700517413,2.0751493896216537,1.5807381622719194
Original_Top6,Linear Regression,6,0.7557363076230585,2.28654756102138,1.9100319867518945
Original_Top6,Ridge Regression,6,0.7530250383904402,2.2992026095726334,1.9075648256425572
